Symbol,Name,Last,Industry,20D Avg Vol,Market Cap
GPK,Graphic Packaging Holding Company,18.19,Containers - Paper Products,2670356,4648245000
GPN,Global Payments Inc,209.17,Financial Transaction Services,1776012,59510800000
GPOVY,Grupo Carso Sa DE Cv,6,Conglomerates - Div Operations,1035,6844320000
GPS,Gap Inc,29.51,Retail - Apparel & Shoes,8470825,10255951000
GRFS,Grifols S.A.,17.61,Medical - Drugs,1118331,11633346000
GRMN,Garmin Ltd,128.37,Electronics Products - Misc,729081,24287370000
GRUB,Grubhub Inc,61.56,Internet Services - Delivery,1571650,5533811000
GS,Goldman Sachs Group,327.39,Finance - Investment Brokers,2988193,1.14E+11
GSHD,Goosehead Insurance Inc Cl A,111.73,Insurance - Multi Line,170981,4115537000
GSK,Glaxosmithkline Plc,36.67,Large Cap Pharma,5414537,96583376000
GSX,Gsx Techedu Inc ADR,39.01,Technology Services,10107704,16580129000
GTES,Gates Industrial Corp Plc,16.25,Engineering & R&D Services,1284655,4554884000
GTLS,Chart Industries IN,139.34,Machinery - General Industrial,337857,4777406000
GVDNY,Givaudan Sa ADR,77.42,Chemical - Specialty,27686,35623152000
GWPH,Gw Pharma ADR,217.8,Medical Products,920015,6803361000
GWRE,Guidewire Software Inc,103.89,Business Software Services,931684,8455126000
GWW,W.W. Grainger,399.37,Industrial Services,325835,20695104000
GZPFY,Gazprom Neft,25,Oil - International Integrated,5682,23384092000
H,Hyatt Hotels Corp,83.06,Hotels & Motels,750020,8150598000
HAE,Haemonetics Corp,116.15,Medical Products,412052,5846562000
HAIN,Hain Celestial Group,45.21,Food - Misc & Diversified,521919,4275021000
HAL,Halliburton Company,21.79,Oil - Field Services,11930157,18927882000
HALO,Halozyme Therapeutic,41.41,Medical - Biomedical,1367909,5615307000
HAS,Hasbro Inc,98.5,Toys & Game & Hobby,910548,13134971000
HASI,Hannon Armstrong Sustainable IN,54.64,REIT - Mortgage Trusts,936452,4135128000
HBAN,Huntington Bcshs,16.08,Banks - Midwest,12164359,15662952000
HBI,Hanesbrands Inc,20.55,Textile - Apparel,4696274,6714933000
HCA,Hca Holdings Inc,191.07,Medical - Hospitals,1696603,62195200000
HCMLY,Holcim Ltd ADR,11.73,Building - CMT & CNT & AG,40160,35292732000
HD,Home Depot,303.81,Building Prds Retail - Wsale,5487468,3.15E+11
HDB,Hdfc Bank Ltd,79.46,Banks - Foreign,1408831,1.43E+11
HDELY,Heidelbergcement Ag,17.96,Building - CMT & CNT & AG,34124,17341592000
HE,Hawaiian Electric Industries,44.41,Utility - Electric Power,875884,4657661000
HEGIY,Hengan Intl Grp ADR,33.65,Consumer Prdts - Misc Discr,13617,7896245000
HEI,Heico Corp,123.46,Aerospace - Defense Equipment,334003,16603288000
HEI.A,Heico Cp Cl A,114.48,N/L,193952,15419754000
HEINY,Heineken N V/S ADR,51.86,Beverages - Alcohol,24291,59881220000
HELE,Helen of Troy Ltd,214.5,Cosmetics & Toiletries,278836,5047775000
HENKY,Henkel Ag and CO Kg,24.87,Soap and Cleaning Products,77955,41973844000
HES,Hess Corp,72.32,Oil - US Integrated,2531346,21206662000
HFC,Hollyfrontier Corp,36.93,Oil - Refining and Marketing,2318930,5803088000
HGKGY,Hongkong Electric Hl,5.844,Utility - Electric Power,9106,12271995000
HHC,Howard Hughes Corp,94.65,Real Estate Developers,242205,5096485000
HIG,Hartford Financial Services Group,67.7,Insurance - Multi Line,4687490,23971316000
HII,Huntington Ingalls Industries,203.16,Aerospace - Defense,376303,7823035000
HINOY,Hino Motors Ltd,94.3,Auto - Foreign,355,5418290000
HIW,Highwoods Properties,43.84,REIT - Equity Trust Other,874208,4368839000
HKMPF,Hikma Pharmaceutical,30.85,Medical - Drugs,660,7543180000
HLDCY,Henderson Land Dev C,4.4,Real Estate Operations,59221,21544184000
HLF,Herbalife Ltd,44.9,Retail - Drug Stores,1140699,5203246000
HLI,Houlihan Lokey,67.52,Finance - Misc Services,423770,4552144000
HLMAF,Halma Plc,32.8414,Protection - Safety,2075,11996781000
HLNE,Hamilton Lane Inc Cl A,86.12,Finance - Investment Mgmt,274548,4464023000
HLPPY,Hang Lung Ppy ADR,12.705,Real Estate Operations,27279,11469390000
HLT,Hilton Inc,121.12,Hotels & Motels,2497729,32896548000
HLTOY,Hellenic Telecommunication Organ,8.09,Diversified Comm Services,10616,7783582000
HLUYY,H Lundbeck A/S,34.41,Large Cap Pharma,2462,6942300000
HMC,Honda Motor Company,30.45,Auto - Foreign,978841,52040024000
HNGKY,Hongkong Ld Hld ADR,24.67,Real Estate Developers,655,11515611000
HNNMY,Hennes & Mauritz Ab,4.71,Retail - Apparel & Shoes,42175,34398824000
HNP,Huaneng Power Intl,13.97,Utility - Electric Power,51724,5717996000
HOCPY,Hoya Corp ADR,122.03,Electronics Products - Misc,45894,43565536000
HOG,Harley-Davidson Inc,36.4,Auto - Domestic,1734822,5129853000
HOKCY,Hong Kong & China GA,1.6,Utility - Gas Distribution,314303,28434082000
HOLX,Hologic Inc,73.42,Medical Instruments,1851715,18546512000
HOMB,Home Bancshares Inc,27.57,Banks - Southeast,830421,4271404000
HON,Honeywell International Inc,218.53,Conglomerates - Div Operations,3158018,1.48E+11
HPE,Hewlett Packard Enterprise Comp,16.01,Computer - Integrated Systems,13334227,19204916000
HPP,Hudson Pacific Properties,27.99,REIT - Equity Trust Other,1339401,4081905000
HPQ,HP Inc,31.66,Computer - Mini,13761180,36612584000
HQY,Healthequity,70,Medical Services,854872,5661641000
HR,Healthcare Realty Trust Inc,30.96,REIT - Equity Trust Other,1077450,4281848000
HRC,Hill-Rom Holdings Inc,110.87,Medical Products,464310,7104051000
HRGLY,Hargreaves Lansdown,43.09,Finance - Investment Mgmt,495,10255229000
HRL,Hormel Foods Corp,47.91,Food - Meat Products,1912356,25959516000
HSBC,HSBC Holdings Plc,29.16,Banks - Foreign,2269621,1.17E+11
HSIC,Henry Schein Inc,67.98,Medical - Dental Suppliers,1118595,9354187000
HSNGY,Hang Seng Bk Ltd Spo,19.32,Banks - Foreign,3026,36363196000
HST,Host Marriott Financial Trust,17.19,REIT - Equity Trust Other,7675763,12040580000
HSY,Hershey Foods Corp,159.27,Food - Confectionery,966240,32578924000
HTA,Healthcare Trust of America,28.22,REIT - Equity Trust Other,1630520,6168638000
HTCMY,Hitachi Construction,64.74,Machinery - Construct & Mining,668,6481445000
HTHIY,Hitachi,100.04,Conglomerates - Div Operations,51527,46783448000
HTHT,Huazhu Group Ltd,52.84,Hotels & Motels,1493662,17019186000
HUBB,Hubbell Inc B,189.13,Machinery - Elect Utilities,299761,9732738000
HUBS,Hubspot Inc,439.95,Internet - Software,623496,20296580000
HUM,Humana Inc,423.6,Medical - HMO,995979,53496116000
HUN,Huntsman Corp,28.83,Chemical - Diversified,2864980,5971171000
HUYA,Huya Inc,20.63,Internet Software Services,2126071,4624780000
HVRRY,Hannover Ruckversich,91.79,Insurance - Brokers,2031,21910062000
HWM,Howmet Aerospace Inc,31.99,Engineering & R&D Services,3782922,13160215000
HXL,Hexcel Corp,56.74,Aerospace - Defense Equipment,910299,4793145000
HZNP,Horizon Therapeutics,83.01,Medical - Biomedical,1881228,18400958000
IAA,Iaa Inc,55.09,Auto - Domestic,887191,7482437000
IAC,Iac Holdings Inc,218.43,Industrial Services,647934,19069852000
IART,Integra Lifesciences,68.83,Medical Instruments,352146,5526235000
IBDRY,Iberdrola ADR,52.09,Utility - Electric Power,86717,82169776000
IBKR,Interactive Brokers,73,Finance - Investment Brokers,823933,31109640000
IBM,International Business Machines,136.38,Computer - Integrated Systems,5677688,1.17E+11
IBN,Icici Bank Ltd,16.24,Banks - Foreign,6693339,54068684000
ICAGY,International Cons A,5.46,Transportation - Airline,639748,5243875000
ICE,Intercontinental Exchange,113.64,Securities Exchanges,2313625,63253820000
ICL,Israel Chemicals Ltd,5.84,Chemical - Specialty,128951,7628800000
ICLR,Icon Plc,190.72,Medical Services,849999,9884679000
ICUI,I C U Medical Inc,209.83,Medical Products,133159,4386764000
IDA,Idacorp Inc,101.61,Utility - Electric Power,451398,4952846000
IDCBY,Industrial & Com ADR,13.97,Banks - Foreign,55570,2.46E+11
IDEXY,Industria DE Diseno Textil S.A.,16.69,Retail - Apparel & Shoes,546679,1.02E+11
IDXX,Idexx Laboratories,480.22,Medical Instruments,504887,40403936000
IEP,Icahn Enterprises,54.73,Conglomerates - Div Operations,514474,13493264000
IEX,Idex Corp,206.55,Machinery - General Industrial,410086,15279691000
IFF,International Flavors & Fragrances,140.52,Consumer Prdts - Misc Staple,2372249,33933684000
IFNNY,Infineon Tech Ads,41.41,Electronics - Semiconductors,306703,52837524000
IHG,Intercontinental Hotels Group,68.94,Hotels & Motels,112541,12238830000
IIPR,Innovative Industrial Properties,176.77,REIT - Equity Trust Other,514334,4135370000
IIVI,I I V I Inc,70.55,Machinery - Electrical,2588389,7046293000
IKTSY,Intertek Group Plc,77.1,Business Information,1786,12483749000
ILMN,Illumina Inc,401.46,Medical - Biomedical,961508,59352116000
IMBBY,Imperial Brands Plc,20.83,Tobacco,233869,19382436000
IMO,Imperial Oil Ltd,24.68,Oil - C$ Integrated,776049,17639872000
IMPUY,Impala Platinum ADR,18.95,Mining - Misc,237312,13897530000
INCY,Incyte Corp,81.75,Medical - Biomedical,1318870,17253358000
INFO,IHS Markit Ltd,98.57,Business Information,2536156,38148188000
INFY,Infosys Ltd,18.72,IT Services,9491523,79165160000
ING,ING Groep N.V. ADR,12.01,Banks - Foreign,8303110,46176248000
INGR,Ingredion Inc,92.78,Food - Misc & Diversified,474917,6016501000
INOV,Inovalon Hlds Cm A,27.54,IT Services,653677,4206282000
INSP,Inspire Medical Systems Inc,193.98,Medical Information Systems,267847,5254289000
INTC,Intel Corp,64.87,Semi General,34744070,2.52E+11
INTU,Intuit Inc,376.58,Computer - Software,1666546,1.03E+11
INVH,Invitation Homes Inc,32.3,REIT - Equity Trust Resident,3691690,17640542000
IONS,Ionis Pharmaceuticals,42.95,Medical - Drugs,1519061,6096506000
IOVA,Iovance Biotherapeutics Inc,28.67,Medical - Biomedical,2337507,4360867000
IP,International Paper Company,55.11,Paper & Related Products,3783845,20520708000
IPG,Interpublic Group of Companies,28.44,Advertising Marketing Services,4565150,10872569000
IPGP,Ipg Photonics Corp,206.87,Lasers - Systems & Components,245135,10858301000
IPHI,Inphi Corp,173.6,Semi Analog & Mixed,1181118,9075031000
IPSEY,Ipsen S.A. ADR,20.27,Medical - Drugs,2240,6795680000
IPXHY,Inpex Holdings Inc,7.21,International E&P,8835,10353225000
IQ,Iqiyi Inc ADR,17.43,Movie & TV Production & Dist,19115805,18159324000
IQV,Iqvia Holdings Inc,192.86,Technology Services,809332,35689752000
IR,Ingersoll Rand Inc,49.71,Machinery - General Industrial,2392886,20243102000
IRDM,Iridium Comm Inc,38.13,Satellite Communication,1302784,4938818000
IRM,Iron Mountain Inc,37.28,REIT - Equity Trust Other,2554742,10506714000
ISNPY,Intesa Sanpaolo ADR,16.35,Banks - Foreign,200145,52675048000
ISRG,Intuitive Surg Inc,730.75,Medical Instruments,549234,84175040000
ISUZY,Isuzu Motors Ltd ADR,11.02,Auto - Foreign,11541,8127735000
IT,Gartner Inc,185.84,Consulting,567029,16067555000
ITOCY,Itochu Corp ADR,65.68,Retail - Misc & Diversified,24553,47532356000
ITT,ITT Inc,90.7,Conglomerates - Div Operations,516585,7460625000
ITUB,Itau Unibanco Banco Holding S.A.,4.87,Banks - Foreign,54577145,46962464000
ITVPY,Itv Plc,17.56,Broadcast - Radio & TV,7265,6887476000
ITW,Illinois Tool Works Inc,227.61,Machinery - General Industrial,1315579,69779632000
IVZ,Invesco Plc,24.76,Finance - Investment Mgmt,5712232,10673424000
IX,Orix Corp ADR,91.38,Finance - Misc Services,26688,21459516000
J,Jacobs Engineering Group Inc,128.62,Engineering & R&D Services,600687,16039602000
JAMF,Jamf Holding Corp,35.09,Technology Services,617889,4121811000
JAPAY,Japan Tob Inc,9.67,Tobacco,65063,34055616000
JAPSY,Japan Airlines,11.31,Transportation - Airline,69417,7468086000
JAZZ,Jazz Pharma Plc,168.42,Medical - Drugs,582432,9220966000
JBGS,Jbg Smith Properties,32.19,REIT - Equity Trust Other,547540,4120333000
JBHT,J B Hunt Transport,166.9,Transportation - Truck,624511,16863118000
JBL,Jabil Circuit,51.72,Electronic Manufacturing,1199105,7327087000
JBLU,Jetblue Airways Cp,19.69,Transportation - Airline,10382135,5938185000
JBSAY,Jbs S.A.,9.96,Food - Meat Products,106744,12802065000
JBT,John Bean Technologies Corp,135.5,Machinery - Thermal Processing,192404,4149648000
JCI,Johnson Controls Intl,59.99,Protection - Safety,5119281,42159900000
JCOM,J2 Global Inc,119.36,Internet - Software,492716,5192859000
JD,Jd.com Inc Ads,82.07,Internet Commerce,13652685,1.06E+11
JEF,Jefferies Financial Group Inc,31.1,Finance - Misc Services,2337958,8132110000
JEXYY,Jiangsu Expwy SP H,22.43,Building - Heavy Construction,2475,5901713000
JHG,Janus Henderson Group Plc,31.5,Finance - Investment Mgmt,1122008,5196353000
JHX,James Hardie Industries Se,30.28,Building & Construction - Misc,27705,13018534000
JKHY,Jack Henry & Assoc,155.19,Electronic Misc Services,554477,11709772000
JLL,Jones Lang Lasalle Inc,181.09,Real Estate Operations,353826,8723114000
JMHLY,Jardine Matheson ADR,65.935,Conglomerates - Div Operations,12866,48235808000
JMPLY,Johnson Matthey Plc,86.24,Chemical - Diversified,1897,8200035000
JNJ,Johnson & Johnson,164.93,Large Cap Pharma,7549419,4.26E+11
JNPR,Juniper Networks,25.84,Wireless Equipment,4390431,8040214000
JOBS,51Job Inc,62.5,Publishing - Periodicals,213780,4201105000
JPM,JP Morgan Chase & Company,155.09,Banks - Major Regional,17583623,4.60E+11
JRONY,Jeronimo Martins,31.85,Retail - Supermarket,1945,10158733000
JSAIY,J Sainsbury ADR,13.6,Retail - Supermarket,19502,7374218000
JSCPY,Jsr Cp ADR,30.88,Chemical - Plastics,1993,7163672000
JSHLY,Jardine Strateg ADR,16.55,Conglomerates - Div Operations,56436,37233316000
JWN,Nordstrom,38.72,Retail - Apparel & Shoes,4396120,5548771000
K,Kellogg Company,63.71,Food - Misc & Diversified,3329098,20935236000
KB,KB Financial Group Inc,47.39,Banks - Foreign,288232,18561670000
KBCSY,Kbc Group NV ADR,36.67,Banks - Foreign,91491,30468702000
KBR,KBR Inc,37.09,Engineering & R&D Services,1772683,4446445000
KC,Kingsoft Cloud Holdings Limited ADR,40.75,Internet - Software,2228829,8862432000
KCDMY,Kimberly Clark DE ME,8.37,Paper & Related Products,29045,5059154000
KDDIY,Kddi Cp ADR,16.56,Wireless Non-US,136568,73328208000
KDP,Keurig Dr Pepper Inc,35.24,Beverages - Soft,7199224,48360728000
KEP,Korea Electric Power Corp,10.32,Utility - Electric Power,214154,12890658000
KEY,Keycorp,20.15,Banks - Major Regional,12127347,18659378000
KEYS,Keysight Technologies Inc Comm,142.19,Electronics - Measuring Inst,1001893,25157548000
KGC,Kinross Gold Corp,6.72,Mining - Gold,14864086,8359263000
KGFHY,Kingfisher New ADR,8.9325,Retail - Misc & Diversified,44885,9295079000
KHC,Kraft Heinz Company,40.03,Food - Misc & Diversified,7509843,46762020000
KHNGY,Kuehne & Nagel Inter,56.69,Transportation - Services,13911,35076076000
KIGRY,Kion Group Ag,23.98,Industrial Services,16585,12141132000
KIM,Kimco Realty Corp,19.21,REIT - Equity Trust Retail,4809982,7914633000
KIROY,Kumba Iron Ore Ltd,12.87,Mining - Iron,930,12426078000
KKPNF,Koninklijke Kpn NV,3.44,Conglomerates - Div Operations,22815,14373712000
KKPNY,Royal Kpn N.V.,3.39,Diversified Comm Services,542713,14205599000
KKR,KKR & CO LP,48.47,Finance - Investment Mgmt,2918697,27665798000
KL,Kirkland Lake Gold Ltd,33.42,Mining - Gold,2022420,8838494000
KLAC,K L A-Tencor Corp,319.94,Electronics Products - Misc,1697551,45897404000
KLBAY,Klabin Sa ADR,12.02,Paper & Related Products,12520,6334805000
KLPEF,Klepierre Sa Ord,23.25,REIT - Equity Trust Retail,3482,7308870000
KMB,Kimberly-Clark Corp,137.13,Consumer Prdts - Misc Staple,2461322,45860784000
KMI,Kinder Morgan,16.8,Oil - Production & Pipeline,17229092,36661444000
KMPR,Kemper Corp,80.84,Insurance - Multi Line,259218,5184691000
KMTUY,Komatsu Ltd ADR,30.54,Machinery - Construct & Mining,141380,29400676000
KMX,Carmax Inc,133.81,Retail - Wholesale Auto Parts,1135546,20862138000
KNBWY,Kirin Holdings Compa,20.1,Beverages - Alcohol,45494,17553218000
KNX,Knight-Swift Transporation Inc,47.77,Transportation - Truck,2003075,7397885000
KNYJY,Kone Oyj ADR B Shs,40.67,Machinery - Electrical,23584,41693472000
KO,Coca-Cola Company,53.04,Beverages - Soft,20195256,2.22E+11
KOD,Kodiak Sciences Inc,116.33,Medical - Biomedical,305748,5883629000
KOF,Coca Cola Femsa S.A.B. DE C.V.,46.2,Beverages - Soft,178556,9750521000
KPELY,Keppel Corp Ltd ADR,7.77,Transportation - Ship,1036,7000817000
KR,Kroger Company,37.23,Retail - Supermarket,10629555,27187700000
KRC,Kilroy Realty Corp,68,REIT - Equity Trust Other,1239508,7624497000
KRYAY,Kerry Group Plc,128.38,Food - Misc & Diversified,14845,22335388000
KSS,Kohl's Corp,58.98,Retail - Regional Dept Stores,3042543,8543476000
KSU,Kansas City Southern,253.62,Transportation - Rail,1584769,23085382000
KT,Korea Telecom Corp,12.43,Wireless Non-US,1064606,5929928000
KUBTY,Kubota Corp,115.18,Machinery - Farm,22407,26526256000
KWHIY,Kawasaki Heavy ADR,10.14,Machinery - General Industrial,1588,4177010000
KWR,Quaker Chemical Corp,235.55,Chemical - Specialty,105715,4160875000
KYOCY,Kyocera Corp,67.57,Electronics - Misc Components,9183,23761042000
KZMYY,Kaz Minerals Plc ADR,5.96,Mining - Non Ferrous,33485,5501810000
L,Loews Corp,52.66,Insurance - Multi Line,1259737,13592692000
LAD,Lithia Motors,377.93,Retail - Wsale Auto & Trucks,344854,9637585000
LAMR,Lamar Advertis A,94.74,REIT - Equity Trust Other,698817,9269777000
LANC,Lancaster Colony Cor,183.68,Food - Misc & Diversified,83845,4954135000
LAZ,Lazard Ltd,43.73,Finance - Investment Mgmt,913395,4464867000
LAZR,Luminar Technologies Inc,24.7,Auto - Truck Original Parts,6473037,8266847000
LB,L Brands Inc,61.6,Retail - Apparel & Shoes,3652690,15973254000
LBRDA,Liberty Broadbd A,148.02,Cable TV,105160,29618172000
LBRDK,Liberty Broadbd C,153.79,Cable TV,1159225,30633832000
LBTYA,Liberty Global Ord A,26.1,Cable TV,1298147,14851062000
LBTYB,Liberty Global Ord B,27,Cable TV,1485,15590151000
LBTYK,Liberty Global Ord C,25.97,Broadcast - Radio & TV,3440986,14787548000
LDI,Loandepot Inc Cl A,19.8,Finance - Mortgage & Rel Svs,576959,6064693000
LDOS,Leidos Holdings Inc,96.2,Aerospace - Defense,974486,13473245000
LEA,Lear Corp,178.48,Auto - Truck Original Parts,491498,10270047000
LECO,Lincoln Elec Hld,124.58,Machinery - Tools & Related,215595,7264445000
LEG,Leggett & Platt Inc,46.5,Furniture,1230224,5858076000
LEN,Lennar Corp,102.85,Building - Residential & Comm,3336495,29595258000
LEN.B,Lennar Corp Cl B,82.92,N/L,59233,23904462000
LESL,Leslie's Inc,21.87,Consumer Prdts - Misc Staple,1406883,4292473000
LEVI,Levi Strauss & CO Cl A,23.91,Retail - Apparel & Shoes,1436177,9171302000
LFC,China Life Insurance Company Ltd,10.37,Insurance - Life,635742,58507928000
LFUS,Littelfuse Inc,268.54,Electronics - Misc Components,119225,6262693000
LGGNY,Legal & General Grou,19.14,Insurance - Multi Line,8258,22102462000
LGRVF,Legrand S.A.,88.251,Electronic Misc Services,2030,24329124000
LH,Laboratory Corp of America Holdings,252.85,Medical - Dental Suppliers,695844,24440990000
LHCG,LHC Group Inc,195.63,Medical Services,221486,6145347000
LHX,L3Harris Technologies Inc,198.94,Aerospace - Defense,1235924,40282712000
LI,Li Auto Inc ADR,23.7,Auto - Foreign,16777963,20545926000
LII,Lennox International,320.84,Building Prdcts - Air Heating,262286,11557924000
LIN,Linde Plc,281.4,Oil - Field Services,1941070,1.41E+11
LITE,Lumentum Hld,91.93,Lasers - Systems & Components,1696837,5980300000
LKQ,LKQ Corp,42.75,Auto - Truck Replacement Parts,2043503,12408088000
LLY,Eli Lilly and Company,185.31,Large Cap Pharma,4349043,1.73E+11
LMND,Lemonade Inc,87.38,Insurance - Multi Line,3683655,5471257000
LMT,Lockheed Martin Corp,364.71,Aerospace - Defense,2137907,99750280000
LNC,Lincoln National Corp,62.14,Insurance - Life,1797346,11231461000
LNEGY,Lundin Energy Ab ADR,37.4,Chemical - Diversified,565,38121696000
LNG,Cheniere Energy,74.05,Oil - US Exploration & Product,1666339,18241412000
LNNGY,Li Ning Company Ltd,159.97,Retail - Apparel & Shoes,1240,15049899000
LNT,Alliant Energy Corp,53.97,Utility - Electric Power,1927551,13323655000
LNVGY,Lenovo Group Ltd ADR,25.865,Computer - Mini,69013,14889562000
LOGI,Logitech Int S.A.,103.99,Computers - Peripheral Equpt,1063688,17069530000
LOPE,Grand Canyon Educati,114.42,Schools,323622,5089111000
LOW,Lowe's Companies,191.61,Building Prds Retail - Wsale,4545199,1.30E+11
LPL,Lg Display CO Ltd,9.82,Computers - Peripheral Equpt,598220,6819963000
LPLA,Lpl Financial Hld,141.71,Finance - Investment Brokers,710616,10800082000
LPRO,Open Lending Corp Cl A,36.95,Finance - Consumer Loans,1015519,4545901000
LPX,Louisiana-Pacific Corp,56.05,Building Products - Wood,1448741,5372049000
LRCX,Lam Research Corp,584.23,Semi-Eqpt Wafer Fabrication,1765647,78949528000
LRLCY,L'Oreal CO ADR,76.7,Cosmetics & Toiletries,100905,2.10E+11
LSCC,Lattice Semicond,44.54,Electronics - Semiconductors,1366731,5672946000
LSGOF,Land Securities Grp,9.597,Real Estate Developers,3190,7115801000
LSI,Life Storage,86.38,REIT - Equity Trust Other,636897,6477657000
LSPD,Lightspeed Pos Inc,60.35,Internet - Software,986149,5604083000
LSTR,Landstar System,169.21,Transportation - Truck,287195,6246716000
LSXMA,Liberty Srs XM CS A,44.68,Satellite Communication,487292,14982375000
LSXMK,Liberty Srs XM CS C,44.62,Satellite Communication,879886,10119739000
LU,Lufax Holding Ltd ADR,13.74,Finance - Misc Services,3055632,33417210000
LUKOY,Lukoil CO ADR,82.56,Oil - International Integrated,76121,55644072000
LULU,Lululemon Athletica,314,Textile - Apparel,1560242,40054168000
LUMN,Centurylink,13.16,Technology Services,14011255,14500344000
LUNMF,Lundin Mng Corp,10.29,Mining - Non Ferrous,87112,7683761000
LUV,Southwest Airlines Company,61.29,Transportation - Airline,8781963,34082064000
LVMUY,Lvmh Moet Henn,131.95,Textile - Apparel,129155,3.29E+11
LVS,Las Vegas Sands,61,Gaming,5876036,45188956000
LW,Lamb Weston Holdings Inc,80.64,Food - Misc & Diversified,1147025,11414226000
LYB,Lyondellbasell Industries NV,105.57,Chemical - Diversified,2100157,34125004000
LYFT,Lyft Inc Cl A,64.51,Internet - Services,7761375,20054924000
LYG,Lloyds Banking Group Plc,2.3,Banks - Foreign,7465886,39980632000
LYV,Live Nation Entertainment,84.04,Leisure & Recreation Services,2277784,17781734000
LZAGY,Lonza Group Ag,58.63,Medical Products,75123,44115320000
M,Macy's Inc,16.42,Retail - Regional Dept Stores,21490682,4737895000
MA,Mastercard Inc,366.14,Financial Transaction Services,4603340,3.57E+11
MAA,Mid-America Apartment Communities,148.59,REIT - Equity Trust Resident,759321,16509764000
MAN,Manpower Inc,101.75,Staffing,525680,5370421000
MANH,Manhattan Assoc,118.88,Computer - Software,316811,7379339000
MAR,Marriot Int Cl A,146.82,Hotels & Motels,2848899,46482040000
MARUY,Marubeni Corp ADR,87.15,Conglomerates - Div Operations,10739,14659524000
MAS,Masco Corp,60.05,Building & Construction - Misc,1968387,14734236000
MASI,Masimo Corp,229.46,Medical Instruments,422003,12469339000
MAT,Mattel Inc,20.19,Toys & Game & Hobby,2565253,6869395000
MAURY,Marui Group CO Ltd,40.71,Retail - Regional Dept Stores,6969,4261237000
MAWHY,Man Wah Holdings Ltd,42.22,Furniture,950,8352383000
MBT,Mobile Telesystems,8.27,Wireless Non-US,4774420,7460265000
MCD,McDonald's Corp,225.21,Retail - Restaurants,3738736,1.67E+11
MCFE,Mcafee Corp Cl A,22.62,Internet - Software,1300600,9639963000
MCHP,Microchip Technology,155.42,Semi Analog & Mixed,2352032,39516888000
MCK,Mckesson Corp,194.09,Medical - Dental Suppliers,1065832,29891564000
MCO,Moody's Corp,304.12,Finance - Misc Services,844310,55443184000
MDB,Mongodb Inc Cl A,265.77,Internet - Software,1128881,17090228000
MDLA,Medallia Inc,28.05,IT Services,2382210,4172305000
MDLZ,Mondelez Intl Inc,59.44,Food - Misc & Diversified,9470320,81987400000
MDT,Medtronic Inc,118.56,Medical Products,4651287,1.56E+11
MDU,Mdu Res Group Inc,31.29,Utility - Gas Distribution,1389807,6152015000
MEDP,Medpace Holdings Inc,166.03,Medical Services,214429,5623103000
MEGGY,Meggitt Plc,13.35,Aerospace - Defense Equipment,2755,5207178000
MELI,Mercadolibre Inc,1431.97,Internet Commerce,723519,69212064000
MET,Metlife Inc,60.82,Insurance - Multi Line,6349831,51772716000
MFC,Manulife Financial Corp,21.56,Insurance - Life,3975101,41174084000
MFG,Mizuho Financial Group,3.14,Banks - Foreign,369016,38803860000
MGA,Magna International,86.95,Auto - Truck Original Parts,1589923,26112444000
MGDDY,Compagnie Generale D,30.39,Rubber Tires,356154,26216716000
MGM,MGM Resorts International,37.68,Gaming,9370076,18260076000
MGNI,Magnite Inc,40.91,Internet - Software,4369926,4586973000
MGP,MGM Growth Properties Llc,32.74,REIT - Equity Trust Other,1837844,4958110000
MHGVY,Marine Harvest ASA ADR [Norway],24.3,Food - Misc & Diversified,35164,12358954000
MHK,Mohawk Industries,195.67,Textile - Home Furnishings,601044,13019899000
MHVYF,Mitsubishi Heavy Ind,31.96,Machinery - General Industrial,655,10782154000
MIDD,Middleby Corp,165.97,Machinery - General Industrial,700979,8968846000
MIELF,Mitsubishi Elect Cor,15.9,Electronics Products - Misc,3553,33755000000
MITEY,Mitsubishi Estate CO,18.42,Real Estate Developers,30476,24439012000
MITSY,Mitsui & Company,441.31,Metal Products - Distribution,2134,36105808000
MKC,Mccormick & Company Inc,90.21,Food - Misc & Diversified,1257929,23365520000
MKGAF,Merck Kgaa Dm 5,172.4,Medical - Drugs,1276,21922336000
MKL,Markel Corp,1151.01,Insurance - Proprty & Casualty,42807,15529330000
MKSI,Mks Instruments Inc,183.11,Electrical - Manufacturing,468820,9415351000
MKTAY,Makita Corp,44.62,Tools - Hand Held,25509,11794698000
MKTX,Marketaxess Holdings,517.8,Securities Exchanges,323417,19033332000
MLCO,Melco Resorts & Entertainment,19.59,Gaming,2715259,9616078000
MLM,Martin Marietta Materials,341.24,Building - CMT & CNT & AG,514742,20071982000
MLRYY,Mail Ru Group Ltd,22.9,Internet - Services,1955,5577438000
MMC,Marsh & Mclennan Companies,120.23,Insurance - Brokers,1993017,59966064000
MMM,3M Company,194.88,Conglomerates - Div Operations,2790125,1.10E+11
MMP,Magellan Midstream Partners LP,43.8,Oil Gas Prod Pipeline MLP,1846762,9505158000
MMS,Maximus Inc,88.76,Government Services,306537,5307081000
MNBEY,Minebea Ltd ADR,52.96,Electronics - Misc Components,1366,10533929000
MNSO,Miniso Group Holding Ltd ADR,21.53,Retail - Apparel & Shoes,1112146,6444271000
MNST,Monster Beverage Cp,91.65,Beverages - Soft,2224063,46856316000
