Symbol,Name,Last,Industry,Price Vol,Market Cap
BSGM,Biosig Technologies,4.25,Medical Instruments,1049,135425000
BSN,Broadstone Acquisition Corp Cl A,9.78,Unclassified,673,295836000
BTBT,Bit Digital Inc,13.56,Technology Services,9797,207733000
BTU,Peabody Energy Corp,2.87,Coal,7393,270171000
BWAY,Brainsway Ltd ADR,9.32,Medical Products,1815,95119000
BWEN,Broadwind Energy Inc,5.09,Machinery - General Industrial,1796,86668000
BWFG,Bankwell Financial,27.04,Banks - Northeast,535,206537000
BXRX,Baudax Bio Inc,1.34,Medical - Drugs,1257,94693000
CAAS,China Automotive Sys,4.87,Auto - Truck Original Parts,547,156728000
CABA,Cabaletta Bio Inc,10.83,Medical - Biomedical,653,260843000
CALA,Calithera Biosci Com,2.47,Medical - Drugs,1453,178160000
CAPA,Highcape Capital Acquisition Corp Cl A,12.3,Unclassified,11975,166570000
CAPR,Capricor Therap,5.09,Medical Products,750,112850000
CASI,Casi Phrmactcls Inc,2.06,Medical - Drugs,8137,239212000
CATO,Cato Corp,12.34,Retail - Apparel & Shoes,1457,263512000
CBIO,Catalyst Bio,5.15,Medical - Biomedical,754,164488000
CCAC,Citic Capital Acquisition Corp Cl A,10,Unclassified,15367,277932000
CCNC,Code Chain New Continent Ltd,3.81,Waste Removal Svcs,3168,145735000
CCV,Churchill Capital V Cl A,9.76,Unclassified,14091,145084000
CDR,Cedar Realty Trust Inc,14.85,REIT - Equity Trust Other,664,188609000
CDTX,Cidara Thera,2.29,Medical - Biomedical,656,110499000
CECE,C E C O Envir,8.2,Pollution Controls,1369,269728000
CERC,Cerecor Inc,2.98,Medical - Biomedical,639,264642000
CFAC,Cf Finance Acquisition Corp III,10.05,Unclassified,1296,291038000
CFIV,Cf Acquisition Corp IV Cl A,9.7,Unclassified,1481,135205000
CFMS,Conformis Inc CS,1,Medical Instruments,2330,182579000
CFRX,Contrafect,4.59,Medical - Drugs,5120,124033000
CGRO,Collective Growth Corp Cl A,9.98,Unclassified,5195,193933000
CHEK,Check-Cap Ltd Ord,1.8,Medical Instruments,5542,81381000
CHMA,Chiasma Inc,3.03,Medical - Biomedical,8764,174689000
CHMG,Chemung Financial Cp,42.39,Banks - Southeast,983,192656000
CHMI,Cherry Hill Mortgage Investmen,10.02,REIT - Mortgage Trusts,2228,169563000
CIDM,Cinedigm Corp,1.69,Business Services,83693,268845000
CKPT,Checkpoint Therapeutics Inc,3.16,Medical - Biomedical,2139,232405000
CLBS,Caladrius Bio,1.92,Medical - Biomedical,2408,115440000
CLIR,Clearsign Combustion,5.28,Industrial Services,682,149314000
CLPS,Clps Incorp,4.86,IT Services,1950,82766000
CLRB,Cellectar Biosc,1.67,Medical Products,1327,83837000
CLSD,Clearside Biomedi,2.32,Medical - Biomedical,606,132071000
CLVR,Clever Leaves Holdings Inc,12.33,Unclassified,2750,186029000
CLXT,Calyxt Inc,6.64,Agriculture Operations,1125,254519000
CMCL,Caledonia Mining Cp,14.36,Mining - Gold,1259,153996000
CMCM,Cheetah Mobile Inc,2.24,Internet - Software,2483,297789000
CNCE,Concert Pharmaceutic,4.89,Medical - Drugs,4718,167948000
CNET,Chinanet Online Hld,2.72,Advertising Marketing Services,5536,83191000
CNTY,Century Casinos IN,10.41,Gaming,2317,290732000
COCP,Cocrystal Pharma Inc,1.4,Medical - Biomedical,621,99342000
COGT,Cogent Biosciences Inc,8.91,Medical - Biomedical,1734,167482000
COMS,Comsovereign Holding Corp,2.77,Communication Network Software,2190,147616000
CORR,Corenergy Infrastructure Trust Inc,7.24,REIT - Equity Trust Other,1573,97468000
CPLP,Capital Product Part,11.64,Transportation - Ship,787,207491000
CPSH,Cps Technologies,11.98,Electronics - Misc Components,5091,173202000
CPST,Capstone Turbine Cp,7.82,Machinery - Electrical,890,97719000
CRBP,Corbus Pharma,1.95,Medical - Drugs,6150,251123000
CRESY,Cresud Sacif ADR,4.83,Agriculture Operations,803,234813000
CRHM,CRH Medical Corp,3.94,Medical Instruments,3310,281467000
CRMD,Cormedix Inc,8.55,Medical - Biomedical,5988,279548000
CRU,Crucible Acquisition Corporation Cl A,9.92,Unclassified,632,76037000
CRVS,Corvus Pharma Com,3.07,Medical - Biomedical,959,80257000
CSBR,Champions Oncolog,12.5,Medical - Drugs,503,151173000
CSCW,Color Star Tech CO Ltd,1.51,Technology Services,44812,77904000
CSLT,Castlight Health Inc,1.5,Internet - Software,1784,249043000
CSU,Capital Senior Living Corp,37.49,Medical - Nursing Homes,701,77527000
CTHR,Charles & Colvard,2.86,Precious Metals & Jewelry,543,82936000
CTIC,Cti Biopharm Corp,2.79,Medical - Drugs,1141,216257000
CTK,Cootek Cayman Inc,2.64,Internet - Services,1590,173655000
CTO,Consolidated-Tomoka Land Company,51.22,REIT - Equity Trust Other,3729,292939000
CTXR,Citius Pharmaceuticals Inc,1.9,Medical - Drugs,12881,150660000
CVCY,Central Vly Cmty Bcp,19.26,Banks - West,526,228062000
CVEO,Civeo Corp,16.2,Hotels & Motels,611,213719000
CWCO,Cons Water CO Inc,13.67,Utility - Water Supply,1203,199321000
CYBE,Cyberoptics Cp,24.48,Lasers - Systems & Components,1838,173471000
CYCN,Cyclerion Therapeutics Inc,3.08,Medical - Biomedical,967,112041000
DARE,Dare Bioscience Inc,1.73,Medical - Biomedical,2202,77369000
DCRB,Decarbonization Plus Acquisition Corp Cl A,10.65,Unclassified,6554,291727000
DFFN,Diffusion Pharmaceuticals Inc,0.92,Medical - Biomedical,1750,92936000
DFHT,Deerfield Healthcare Techn Acquisitions Corp Cl,13.05,Medical Services,525,248331000
DFPH,Dfp Healthcare Acquisitions Corp Cl A,9.95,Unclassified,2298,288938000
DLPN,Dolphin Entertainment Inc,13.25,Technology Services,73739,125695000
DPW,Ault Global Hldg Inc,3.08,Conglomerates - Div Operations,12300,112928000
DRTT,Dirtt Environmental Solutions Ltd,2.94,Building & Construction - Misc,536,284314000
DS,Drive Shack Inc,3.35,Leisure & Recreation Services,15729,202510000
DSAC,Duddell Street Acquisition Corp Cl A,9.96,Unclassified,694,214813000
DSX,Diana Shipping Inc,3.23,Transportation - Ship,1730,276753000
DUNE,Dune Acquisition Corporation Cl A,9.68,Unclassified,1291,181125000
DYAI,Dyadic International,5.35,Medical - Biomedical,1119,149502000
EARN,Ellington Residential Mortgage,12.63,REIT - Mortgage Trusts,743,152448000
EBMT,Eagle Bancorp [Mt],25.01,Banks - Midwest,533,162610000
ECOR,Electrocore Inc,2.07,Medical - Drugs,804,100832000
EDAP,Edap Tms Sa ADR,8.15,Medical Instruments,610,218856000
EDTX,Edtechx Holdings Acquisition Corp II Cl A,9.92,Unclassified,603,121750000
EGAN,Egain Corp,9.31,Internet - Software,3643,283222000
EGY,Vaalco Energy Inc,2.28,International E&P,1635,133778000
EIGR,Eiger Biopharma,8.89,Medical - Biomedical,1978,286124000
ELVT,Elevate Credit Inc,3.1,Finance - Consumer Loans,11409,131884000
ELYS,Elys Game Tech Corp,5.41,Gaming,3651,124985000
EMAN,Emagin Corp,3.44,Electronics - Semiconductors,2099,239671000
EMKR,Emcore Corp,5.83,Electrical - Manufacturing,2554,197858000
EML,Eastern Company,26.31,Protection - Safety,1000,153388000
EMX,Emx Royalty Group,2.98,Mining - Misc,696,246416000
ENG,Englobal Corp,4.32,Engineering & R&D Services,2913,116985000
ENLV,Enlivex Therapeutics Ltd,11.03,Medical - Drugs,855,179979000
ENOB,Enochian Biosciences Inc,4,Medical - Biomedical,4286,167171000
ENZ,Enzo Biochem,3.44,Medical - Biomedical,978,162532000
EPM,Evolution Petroleum Corp,3.32,Oil - US Exploration & Product,562,109850000
EPSN,Epsilon Energy,3.98,Oil - US Integrated,1024,93289000
EQ,Equillium Inc,7.16,Medical - Biomedical,727,170555000
ESEA,Euroseas Ltd,10.99,Transportation - Ship,663,77532000
ETON,Eton Pharmaceutcials Inc,7.01,Medical - Biomedical,1134,169147000
EUCR,Eucrates Biomedical Acquisition Corp,9.81,Unclassified,3596,132033000
EVFM,Evofem Biosciences Inc,1.87,Medical - Biomedical,16448,193667000
EVGN,Evogene Ltd Ord,4.45,Medical - Biomedical,3868,119480000
EXPR,Express Inc,4.24,Retail - Apparel & Shoes,33415,264432000
EXTN,Exterran Corp,3.54,Oil Field Machinery & Equip,2945,115313000
EYEN,Eyenovia Inc,5.66,Medical - Biomedical,521,135618000
EYES,Second Sight,9.11,Medical Instruments,26466,205065000
EYPT,Eyepoint Pharmaceuticals Inc,9.98,Medical - Biomedical,3951,291146000
EZPW,Ezcorp Inc,5.16,Finance - Consumer Loans,1361,284667000
FARM,Farmer Brothers,8.77,Food Items - Wholesale,2342,179309000
FCAX,Fortress Capital Acquisition Corp Cl A,9.82,Unclassified,925,113734000
FCBP,First Choice Bancorp,24.72,Banks - Southwest,541,284319000
FCCO,First Community Corp,20.97,Banks - Southeast,585,147981000
FENC,Fennec Pharmaceuticals Inc,6.22,Medical - Drugs,679,165899000
FENG,Phoenix New Media Ltd,1.91,Broadcast - Radio & TV,15696,159412000
FET,Forum Energy Technologies Inc,19.52,Oil Field Machinery & Equip,738,108462000
FGNA,Fg New America Acquisition Corp Cl A,10.2,Unclassified,2197,244047000
FHS,First High-School Education Group ADR,6.57,Schools,20283,199148000
FINM,Marlin Technology Corporation Cl A,9.72,Unclassified,641,116688000
FLL,Full House Rsts,8.09,Gaming,8918,181188000
FLUX,Flux Power Holdings Inc,12.1,Electronics Products - Misc,987,144953000
FLXS,Flexsteel Inds,35.9,Furniture,2603,256816000
FNHC,Federated Natl Hld,4.7,Finance - Misc Services,543,81441000
FRAF,Franklin Finl Svcs Corp,30.76,Banks - Northeast,874,146268000
FRBA,First Bank,11.97,Banks - Northeast,825,213301000
FRBK,Republic First Bcp,3.79,Banks - Northeast,769,217223000
FREQ,Frequency Therapeutics Inc,8.68,Medical - Biomedical,24227,290796000
FRX,Forest Road Acquisition Corp Cl A,10.25,Unclassified,11693,89963000
FSBW,FS Bancorp Inc,68.41,Banks - West,746,275187000
FSTR,Foster L B Company,17.01,Steel - Producers,2730,184174000
FTCV,Fintech Acquisition Corp V Cl A,11.9,Unclassified,15407,124962000
FTEK,Fuel Tech Inc,3,Pollution Controls,585,91292000
FTFT,Future Fintech Group Inc,5.9,Beverages - Soft,45311,292308000
FTOC,Ftac Olympus Acquisition Corp Cl A,10.8,Unclassified,14099,282025000
FVE,Five Star Quality Care,6.21,Medical - Nursing Homes,549,198627000
GAIA,Gaiam Inc,11.75,Broadcast - Radio & TV,908,227916000
GAU,Galiano Gold Inc,1.13,Mining - Gold,807,246845000
GEN,Genesis Healthcare Inc,0.4204,Medical - Nursing Homes,6643,80329000
GENC,Gencor Industries IN,13.07,Machinery - Thermal Processing,580,187541000
GHM,Graham Corp,14.56,Machinery - General Industrial,501,141240000
GIK,Gigcapital3 Inc,10.67,Unclassified,7745,276796000
GIX,Gigcapital2 Inc,10.01,Unclassified,1409,216433000
GLMD,Galmed Pharmaceutica,3.39,Medical - Drugs,799,88546000
GLOP,Gaslog Partners LP,2.86,Transportation - Ship,1330,142828000
GLYC,Glycomimetics Inc,3.04,Medical - Drugs,1515,149848000
GMBL,Esports Entertainment Group Inc,14.8,Gaming,10712,251646000
GMTX,Gemini Therapeutics Inc,14.79,Medical - Drugs,3890,236443000
GNPK,Genesis Park Acquisition Corp Cl A,10.55,Unclassified,30209,202059000
GNPX,Genprex Inc,4.51,Medical - Biomedical,2882,191284000
GNRS,Greenrose Acquisition Corp,9.96,Unclassified,4233,217169000
GNSS,Genasys Inc,7.27,Consumer Services - Misc,834,244234000
GORO,Gold Resource Corp,2.66,Mining - Gold,1846,198008000
GPL,Great Panther Mining Ltd,0.7847,Mining - Silver,806,277452000
GPX,Gp Strategies Corp,16.7,Schools,1117,278798000
GRAY,Graybug Vision Inc,5.89,Medical - Biomedical,4853,127948000
GRNQ,Greenpro Capital Corp,2.52,Finance - Misc Services,6555,174057000
GROY,Gold Royalty Corp,4.54,Mining - Gold,665,185754000
GRTX,Galera Therapeutics Inc,9.31,Medical - Biomedical,1932,259251000
GSMG,Glory Star New Media Group Holdings Ltd,4.72,Technology Services,2040,233859000
GSV,Gold Standard Ventures Corp,0.6,Mining - Gold,2043,214235000
GTE,Gran Tierra Energy Inc,0.71,Oil - C$ Exploration & Product,3829,263310000
GTEC,Greenland Technologies Holding Corp,15.5,Electronics Products - Misc,1634,149293000
GTT,Global Telcom & Technology Inc,1.79,IT Services,1758,101169000
GWAC,Good Works Acquisition Corp,10.64,Unclassified,3232,218861000
HBB,Hamilton Beach Brands Holding Company Cl A,16.84,Appliances - Household,1212,235125000
HBIO,Harvard Bioscience,5.5,Industrial Scientific,1108,219043000
HCCC,Healthcare Capital Corp. Cl A,9.7,Unclassified,2467,79555000
HCIC,Hennessy Capital Investment Corp. V Cl A,9.9,Unclassified,5942,99455000
HEPA,Hepion Pharmaceuticals Inc,1.9,Medical - Biomedical,6501,147114000
HGBL,Heritage Global Inc,2.95,Finance - Misc Services,549,103947000
HIL,Hill International Inc,2.9,Consulting,620,155888000
HMCO,Humanco Acquisition Corp Cl A,9.85,Unclassified,5784,84245000
HQI,Hirequest Inc,18.35,Staffing,1367,231438000
HROW,Harrow Health Inc,6.64,Medical Services,675,171748000
HRZN,Horizon Technology F,14.35,Finance - SBIC & Commercial,1228,270060000
HSAQ,Health Sciences Acquisitions Corp 2,10.35,Unclassified,2628,215748000
HTBX,Heat Biologics Inc,7.39,Medical - Drugs,4068,173538000
HTOO,Fusion Fuel Green Plc,12.2,Other Alt Energy,3181,122903000
HURC,Hurco Cos Inc,33.52,Machinery - Tools & Related,1210,209885000
HYMC,Hycroft Mining Holding Corp,4.04,Mining - Misc,3692,296325000
HYRE,Hyrecar Inc,9.2,Transportation - Services,2325,184411000
HZN,Horizon Global Corp Comm,10.29,Auto - Truck Original Parts,514,270556000
IACA,ION Acquisition Corp 1 Ltd Cl A,10.16,Unclassified,2611,261855000
IDN,Intellicheck Mobilisia,8.43,Protection - Safety,2586,149124000
IEA,Infrastructure and Energy Alternatives Inc,14.35,Real Estate Operations,13304,297994000
IEC,IEC Electronics,11.96,Electronics - Misc Components,1039,125490000
IFRX,Fireman B.V.,4.06,Medical - Biomedical,1793,170751000
IGC,India Globalization Capital Inc,1.74,Medical - Drugs,2036,78030000
III,Information Svcs Group,4.37,Consulting,950,201348000
IIN,Intricon Corp,25.13,Electronics - Misc Components,3008,201116000
IMBI,Imedia Brands Inc,7.92,Movie & TV Production & Dist,542,109620000
IMMP,Immutep Ltd ADR,3.11,Medical - Biomedical,22551,128247000
IMMR,Immersion Corp,9.53,Computers - Peripheral Equpt,23813,287039000
IMRA,Imara Inc,8.61,Medical - Biomedical,1372,154836000
IMTX,Immatics NV,12.32,Medical - Biomedical,3679,225344000
IMV,Imv Inc,3.03,Medical - Drugs,678,197474000
INFI,Infinity Pharmaceuti,3.39,Medical - Drugs,5975,200326000
INMB,Inmune Bio Inc,12.39,Medical - Biomedical,828,183676000
INPX,Inpixon,1.2,Technology Services,6108,84869000
INSE,Inspired Entertainment Inc,8.62,Technology Services,867,195496000
INTT,Intest Corp,10.92,Electronics - Measuring Inst,1631,106027000
INUV,Inuvo Inc,1.07,Internet - Services,6005,133923000
INVE,Identiv Inc,11.49,Computers - Peripheral Equpt,972,196074000
ISR,Isoray Inc,1.12,Medical - Drugs,2312,169440000
ISTR,Investar Holding,20.69,Banks - Southeast,600,214947000
ITAC,Industrial Tech Acquisitions Inc Cl A,10.05,Technology Services,2112,96100000
ITI,Iteris Inc,6.2,Computer - Integrated Systems,1300,252761000
ITRM,Iterum Therapeutics Plc,1.41,Medical - Drugs,14489,250599000
IVAN,Ivanhoe Capital Acquisition Corp Cl A,9.92,Unclassified,1613,82256000
IVC,Invacare Corp,8.17,Medical - Dental Suppliers,3454,269196000
IZEA,Izea Inc,4.05,Internet - Software,14936,214291000
JAGX,Jaguar Health Inc,1.84,Medical - Drugs,7020,214429000
JE,Just Energy Group Inc,1.745,Utility - Gas Distribution,2492,83898000
JILL,J. Jill Inc,8.81,Retail - Apparel & Shoes,1350,77344000
KERN,Akerna Corp Cl A,5.1,Medical Products,6119,104961000
KIN,Kindred Biosciences,4.59,Medical - Biomedical,874,183205000
KINZ,Kins Technology Group Inc Cl A,9.82,Unclassified,1384,80621000
KLXE,Klx Energy Services Holdings Inc,16.63,Oil - Field Services,733,138119000
KMDA,Kamada Ltd,6.09,Medical - Biomedical,581,269346000
KMPH,Kempharm Inc,9.35,Medical - Drugs,7355,257086000
KOSS,Koss Cp,21.13,Audio & Video Products,97044,125058000
KRKR,36Kr Holdings Inc ADR,3.36,Business Information,638,121106000
KRMD,Repro Med Sys Inc,3.47,Medical Instruments,994,165665000
KRUS,Kura Sushi USA Inc Cl A,31.36,Retail - Restaurants,2170,251904000
KVHI,K V H Inds Inc,12.82,Communications Components,945,220607000
KXIN,Kaixin Auto Holdings,3.18,Auto - Truck Replacement Parts,4952,187124000
KZIA,Kazia Therapeutics Ltd,11.12,Medical - Biomedical,1487,106612000
LAIX,Laix Inc ADR,2.52,Technology Services,11375,118212000
LAKE,Lakeland Inds Inc,27.27,Protection - Safety,3229,212771000
LAZY,Lazydays Holdings Inc,17.2,Leisure & Recreational Prdcts,3247,190184000
LCAP,Lionheart Acquisition Corp II Cl A,9.82,Unclassified,519,287532000
LCI,Lannett CO Inc,5.82,Medical - Drugs,1325,241788000
LEAP,Ribbit Leap Ltd Cl A,10.95,Unclassified,4856,228233000
LEE,Lee Enterprises Inc,22.37,Publishing - Newspapers,642,133978000
LEVL,Level One Bancorp Inc,24.75,Banks - Northeast,770,180913000
LFTR,Lefteris Acquisition Corp Cl A,9.87,Unclassified,1329,252657000
LFVN,Lifevantage Cp,9.54,Medical - Dental Suppliers,722,132320000
LGVN,Longeveron Inc,5.88,Medical - Biomedical,931,115235000
LINC,Lincoln Educational,6.65,Schools,658,182716000
LIQT,Liqtech International Inc,8.01,Pollution Controls,1668,189481000
LIVK,Liv Capital Acquisition Corp Cl A,10.1,Unclassified,2198,100611000
LJPC,LA Jolla Pharma,4.47,Medical - Drugs,925,123426000
LMB,Limbach Holdings Inc,11.04,Building - Maint & Service,2696,107337000
LMNL,Liminal Biosciences Inc,4.07,Medical - Biomedical,560,121658000
LMNR,Limoneira Company,17.34,Agriculture Operations,1196,289857000
LMPX,Lmp Automotive Holdings Inc,16.92,Internet Commerce,2975,171076000
LODE,Comstock Mining Inc,4.83,Mining - Gold,6247,196147000
LOGC,Logicbio Therapeutics Inc,7.03,Medical - Biomedical,763,230587000
LPCN,Lipocine Inc,1.47,Medical - Drugs,1815,129788000
LPTH,Lightpath Tech Inc,2.9,Electronics - Misc Components,1052,76846000
LPTX,Leap Therapeutics Inc,1.98,Medical - Biomedical,863,125282000
LQDA,Liquidia Corp,2.53,Medical - Biomedical,2692,108773000
LRMR,Larimar Therapeutics Inc,17.18,Medical - Drugs,569,269247000
LSAQ,Lifesci Acquisition II Corp,10.4,Unclassified,2440,99309000
LTRN,Lantern Pharma Inc,18.71,Medical - Biomedical,1246,209438000
LUMO,Lumos Pharma Inc,12.7,Medical - Biomedical,698,113311000
LXEH,Lixiang Education Holding CO ADR,7.95,Schools,1253,118480000
LXU,Lsb Industries Inc,4.5,Conglomerates - Div Operations,621,121354000
LYRA,Lyra Therapeutics Inc,11.9,Medical - Drugs,966,156282000
LYTS,L S I Industries,8.55,Building Products - Ltg FX,988,217568000
MARK,Remark Holdings Inc,2.22,IT Services,6070,215919000
MBIO,Mustang Bio Inc,3.24,Medical - Biomedical,7927,200281000
MBRX,Moleculin Biotech CS,3.83,Medical - Biomedical,1188,100123000
MDNA,Medicenna Therapeutics Corp,3.97,Medical - Biomedical,737,202818000
