Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,Volume,Sector,Price x Volume,Smooth Test,Peers
VTSI,VirTra Inc. Common Stock,5.57,-0.58,-0.09,Micro,United States,1964481,Consumer Durables,10942159.17,FALSE,$BA $RTX $LMT $SPY
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),3.09,-0.02,-0.01,Micro,China,3447129,Capital Goods,10651628.61,TRUE,$000786.SZ $2128.HK $002791.SZ $SPY
AESC,The AES Corporation Corporate Units,104.8,1.5,0.01,Micro,United States,87617,Basic Industries,9182261.6,TRUE,$AES $VST $CWEN.A $SPY
SRNGU,Soaring Eagle Acquisition Corp. Unit,10.18,0.06,0.01,Micro,United States,899149,Finance,9153336.82,TRUE,$SPY $DIA $IWM $QQQ
CLWT,Euro Tech Holdings Company Limited Common Stock,3.54,0.44,0.14,Micro,Hong Kong,2585654,Consumer Durables,9153215.16,TRUE,$1196.HK $990.HK $1660.HK $SPY
RCON,Recon Technology Ltd. Ordinary Shares,5.16,-1.32,-0.2,Micro,China,1753385,Energy,9047466.6,FALSE,$002353.SZ $600871.SS $600968.SS $SPY
UUU,Universal Security Instruments Inc. Common Stock,7.16,0.41,0.06,Micro,United States,1244053,Technology,8907419.48,FALSE,$KEYS $ZBRA $TRMB $SPY
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,25.77,0.05,0,Micro,United States,344269,Finance,8871812.13,TRUE,$SPY $DIA $IWM $QQQ
NRACU,Noble Rock Acquisition Corporation Unit,9.91,0.02,0,Micro,United States,847557,Finance,8399289.87,TRUE,$SPY $DIA $IWM $QQQ
SPKBU,Silver Spike Acquisition Corp II Units,9.97,0.03,0,Micro,United States,787477,Finance,7851145.69,TRUE,$SPY $DIA $IWM $QQQ
MSDAU,MSD Acquisition Corp. Unit,10.18,0.03,0,Micro,United States,758081,Finance,7717264.58,TRUE,$SPY $DIA $IWM $QQQ
HERAU,FTAC Hera Acquisition Corp. Units,9.97,-0.02,0,Micro,United States,767890,Finance,7655863.3,TRUE,$SPY $DIA $IWM $QQQ
CPHI,China Pharma Holdings Inc. Common Stock,0.94,0.1,0.12,Micro,China,8051725,Health Care,7556543.91,FALSE,$600276.SS $3692.HK $000661.SZ $SPY
DUKB,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,26.9,0.06,0,Micro,United States,271614,Public Utilities,7306416.6,TRUE,$SPY $DIA $IWM $QQQ
ASAI,Sendas Distribuidora S.A. ADS,13.05,0.05,0,Micro,,552469,Consumer Services,7209720.45,TRUE,$CRFB3.SA $ASAI3.SA $GMAT3.SA $SPY
NGCAU,NextGen Acquisition Corp. II Units,9.93,0.03,0,Micro,United States,600132,Finance,5959310.76,TRUE,$SPY $DIA $IWM $QQQ
POAI,Predictive Oncology Inc. Common Stock,1.47,0.26,0.21,Micro,United States,3875059,Health Care,5696336.73,FALSE,$950130.KQ $ALGN $WST $SPY
SSAA,Science Strategic Acquisition Corp. Alpha Class A Common Stock,9.75,0.13,0.01,Micro,United States,576685,Finance,5622678.75,TRUE,$SPY $DIA $IWM $QQQ
GSAQU,Global Synergy Acquisition Corp. Units,10.03,0.07,0.01,Micro,United States,526133,Finance,5277113.99,TRUE,$SPY $DIA $IWM $QQQ
DHHC,DiamondHead Holdings Corp. Class A Common Stock,9.75,-0.01,0,Micro,United States,531333,Finance,5180496.75,TRUE,$SPY $DIA $IWM $QQQ
NLSP,NLS Pharmaceutics Ltd. Ordinary Shares,4.12,0.08,0.02,Micro,Switzerland,1252093,Health Care,5158623.16,FALSE,$ROG.SW $NOVN.SW $VIFN.SW $SPY
PXS,Pyxis Tankers Inc. Common Stock,1.12,0.09,0.09,Micro,Greece,4542818,Transportation,5087956.16,TRUE,$SBLK $DAC $DSX $SPY
TSIBU,Tishman Speyer Innovation Corp. II Unit,10,0,0,Micro,United States,508386,Finance,5083860,TRUE,$SPY $DIA $IWM $QQQ
PFDRU,Pathfinder Acquisition Corporation Unit,9.96,0.06,0.01,Micro,United States,504181,Finance,5021642.76,TRUE,$SPY $DIA $IWM $QQQ
BPYUP,Brookfield Property REIT Inc. 6.375% Series A Preferred Stock,25.2,0.47,0.02,Micro,United States,188174,Consumer Services,4741984.8,TRUE,$SPY $DIA $IWM $QQQ
QRTEP,Qurate Retail Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock,101.89,0.24,0,Micro,United States,46479,Consumer Services,4735745.31,TRUE,$SPY $DIA $IWM $QQQ
SHACU,SCP & CO Healthcare Acquisition Company Unit,9.99,0.02,0,Micro,United States,470586,Finance,4701154.14,TRUE,$SPY $DIA $IWM $QQQ
SBNYP,Signature Bank Depositary shares each representing a 1/40th ownership interest in a share of 5.000% Noncumulative Perpetual Series A Preferred Stock,25.7,-0.05,0,Micro,United States,165888,Finance,4263321.6,FALSE,$SPY $DIA $IWM $QQQ
SPCB,SuperCom Ltd. Ordinary Shares (Israel),1.68,0.07,0.04,Micro,Israel,2472185,Technology,4153270.8,FALSE,$ARD.TA $UNIT.TA $FGAS.TA $SPY
SOJE,Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060,25,0.15,0.01,Micro,United States,162740,Public Utilities,4068500,TRUE,$SPY $DIA $IWM $QQQ
BBIG,Vinco Ventures Inc. Common Stock,2.64,0.08,0.03,Micro,United States,1540128,Consumer Non-Durables,4065937.92,FALSE,$PTON $HAS $PII $SPY
FAMI,Farmmi Inc. Ordinary Shares,1.13,0.04,0.04,Micro,China,3547468,Consumer Non-Durables,4008638.84,FALSE,$603288.SS $300999.SZ $002714.SZ $SPY
SSY,SunLink Health Systems Inc. Common Stock,2.78,0.06,0.02,Micro,United States,1423861,Health Care,3958333.58,FALSE,$HCA $UHS $EHC $SPY
SSNT,SilverSun Technologies Inc. Common Stock,8.35,0.71,0.09,Micro,United States,470815,Miscellaneous,3931305.25,FALSE,$MSFT $ORCL $NOW $SPY
BOWXW,BowX Acquisition Corp. Warrant,2.85,0.71,0.33,Micro,United States,1328656,Finance,3786669.6,FALSE,$SPY $DIA $IWM $QQQ
FSSIU,Fortistar Sustainable Solutions Corp. Unit,10.11,0.2,0.02,Micro,United States,369368,Finance,3734310.48,TRUE,$SPY $DIA $IWM $QQQ
RHE,Regional Health Properties Inc. Common Stock,5.17,0.59,0.13,Micro,,721166,Consumer Services,3728428.22,TRUE,$HCA $UHS $EHC $SPY
RILYT,B. Riley Financial Inc. 6.00% Senior Notes Due 2028,25.53,-0.32,-0.01,Micro,United States,140012,Miscellaneous,3574506.36,TRUE,$SPY $DIA $IWM $QQQ
PGRW,Progress Acquisition Corp. Class A Common Stock,9.75,0.01,0,Micro,United States,364902,Finance,3557794.5,TRUE,$SPY $DIA $IWM $QQQ
BDXB,Becton Dickinson and Company Depositary Shares each Representing a 1/20th Interest in a Share of 6.00% Mandatory Convertible Preferred Stock Series B,53.78,0.06,0,Micro,United States,65673,Health Care,3531893.94,TRUE,$SPY $DIA $IWM $QQQ
CLEU,China Liberal Education Holdings Limited Ordinary Shares,4.13,0.11,0.03,Micro,China,848650,Consumer Services,3504924.5,FALSE,$002607.SZ $667.HK $TAL $SPY
GTPBU,Gores Technology Partners II Inc. Units,10.03,0.05,0.01,Micro,United States,331159,Finance,3321524.77,TRUE,$SPY $DIA $IWM $QQQ
SVFAU,SVF Investment Corp. Unit,10.76,0.2,0.02,Micro,United States,303964,Finance,3270652.64,TRUE,$SPY $DIA $IWM $QQQ
NBY,NovaBay Pharmaceuticals Inc. Common Stock,0.97,0.06,0.07,Micro,United States,3358006,Health Care,3257265.82,FALSE,$JNJ $PFE $MRK $SPY
LLIT,Lianluo Smart Limited Class A Common Stock,8.6,-0.17,-0.02,Micro,China,376723,Consumer Services,3239817.8,FALSE,$300760.SZ $853.HK $300529.SZ $SPY
QFTA,Quantum FinTech Acquisition Corporation Common Stock,9.68,0.02,0,Micro,,331309,Finance,3207071.12,TRUE,$SPY $DIA $IWM $QQQ
RTPYU,Reinvent Technology Partners Y Unit,10.04,0,0,Micro,United States,316354,Finance,3176194.16,TRUE,$SPY $DIA $IWM $QQQ
CEI,Camber Energy Inc. Common Stock,1.06,0.03,0.03,Micro,United States,2977663,Energy,3156322.78,FALSE,$COP $EOG $PXD $SPY
SINT,SiNtx Technologies Inc. Common Stock,1.9,0.03,0.02,Micro,United States,1648753,Health Care,3132630.7,FALSE,$ABT $DHR $SYK $SPY
MBINN,Merchants Bancorp Depositary Shares Preferred Series C,25.62,0.1,0,Micro,United States,120483,Finance,3086774.46,TRUE,$SPY $DIA $IWM $QQQ
TCBIO,Texas Capital Bancshares Inc. Depositary Shares 5.75% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series B,25.52,0.13,0.01,Micro,United States,119761,Finance,3056300.72,TRUE,$SPY $DIA $IWM $QQQ
MACQU,MCAP Acquisition Corporation Unit,9.97,0.02,0,Micro,United States,303413,Finance,3025027.61,TRUE,$SPY $DIA $IWM $QQQ
LMACU,Liberty Media Acquisition Corporation Unit,10.74,0.03,0,Micro,United States,280985,Finance,3017778.9,TRUE,$SPY $DIA $IWM $QQQ
AWX,Avalon Holdings Corporation Common Stock,4.1,0.43,0.12,Micro,United States,705022,Public Utilities,2890590.2,TRUE,$WM $RSG $ROL $SPY
RMGCU,RMG Acquisition Corp. III Unit,9.99,0.04,0,Micro,United States,287544,Finance,2872564.56,TRUE,$SPY $DIA $IWM $QQQ
ENNVU,ECP Environmental Growth Opportunities Corp. Unit,9.99,-0.09,-0.01,Micro,United States,286424,Finance,2861375.76,TRUE,$SPY $DIA $IWM $QQQ
TBB,AT&T Inc. 5.350% Global Notes due 2066,26.4,0.22,0.01,Micro,United States,107399,Public Utilities,2835333.6,TRUE,$SPY $DIA $IWM $QQQ
RZB,Reinsurance Group of America Incorporated 5.75% Fixed-To-Floating Rate Subordinated Debentures due 2056,28.2,0.06,0,Micro,United States,99340,Finance,2801388,TRUE,$SPY $DIA $IWM $QQQ
NVSAU,New Vista Acquisition Corp Unit,10,0.01,0,Micro,United States,279301,Finance,2793010,TRUE,$SPY $DIA $IWM $QQQ
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,24.8,0.17,0.01,Micro,United States,112112,Consumer Services,2780377.6,TRUE,$SPY $DIA $IWM $QQQ
TANH,Tantech Holdings Ltd. Common Stock,1.56,0.11,0.08,Micro,China,1769749,Basic Industries,2760808.44,FALSE,$600346.SS $002493.SZ $002601.SZ $SPY
FULTP,Fulton Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,26.01,-0.18,-0.01,Micro,United States,105018,Finance,2731518.18,TRUE,$SPY $DIA $IWM $QQQ
GGPIU,Gores Guggenheim Inc. Unit,9.97,0.04,0,Micro,United States,273805,Finance,2729835.85,TRUE,$SPY $DIA $IWM $QQQ
BAMH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080,24.51,0.2,0.01,Micro,,109350,Consumer Services,2680168.5,TRUE,$SPY $DIA $IWM $QQQ
SDACU,Sustainable Development Acquisition I Corp. Unit,10,0.05,0.01,Micro,United States,267909,Finance,2679090,TRUE,$SPY $DIA $IWM $QQQ
IO,Ion Geophysical Corporation Common Stock,2.3,0.16,0.07,Micro,United States,1146496,Energy,2636940.8,FALSE,$SLB $BKR $HAL $SPY
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,26.2,0.11,0,Micro,United States,99910,Public Utilities,2617642,TRUE,$SPY $DIA $IWM $QQQ
DCRNU,Decarbonization Plus Acquisition Corporation II Unit,10.07,0.01,0,Micro,United States,256206,Finance,2579994.42,TRUE,$SPY $DIA $IWM $QQQ
GTPAU,Gores Technology Partners Inc. Units,10.05,0.04,0,Micro,United States,256667,Finance,2579503.35,TRUE,$SPY $DIA $IWM $QQQ
ACTDU,ArcLight Clean Transition Corp. II Unit,10,0,0,Micro,United States,257510,Finance,2575100,TRUE,$SPY $DIA $IWM $QQQ
HUSA,Houston American Energy Corporation Common Stock,2.11,0.09,0.04,Micro,United States,1218204,Energy,2570410.44,FALSE,$COP $EOG $PXD $SPY
DTP,DTE Energy Company 6.25% Corporate Units,49.99,0.3,0.01,Micro,United States,49866,Public Utilities,2492801.34,TRUE,$D $SRE $PEG $SPY
ZNTE,Zanite Acquisition Corp. Class A Common Stock,10,0.05,0.01,Micro,United States,247858,Finance,2478580,TRUE,$SPY $DIA $IWM $QQQ
PIPP,Pine Island Acquisition Corp. Class A Common Stock,10.02,0.01,0,Micro,United States,245964,Finance,2464559.28,TRUE,$SPY $DIA $IWM $QQQ
DCUE,Dominion Energy Inc. 2019 Series A Corporate Units,99.36,0.52,0.01,Micro,United States,24452,Public Utilities,2429550.72,TRUE,$D $SRE $PEG $SPY
ITHX,ITHAX Acquisition Corp. Class A Ordinary Shares,9.66,-0.09,-0.01,Micro,United States,251337,Finance,2427915.42,TRUE,$SPY $DIA $IWM $QQQ
PCGU,Pacific Gas & Electric Co. Equity Unit,113.17,-0.93,-0.01,Micro,United States,21315,Public Utilities,2412218.55,TRUE,$NEE $DUK $SO $SPY
PPGHU,Poema Global Holdings Corp. Unit,10.05,0.03,0,Micro,China,236943,Finance,2381277.15,TRUE,$SPY $DIA $IWM $QQQ
UZE,United States Cellular Corporation 5.500% Senior Notes due 2070,25.45,-0.03,0,Micro,United States,93148,Public Utilities,2370616.6,TRUE,$SPY $DIA $IWM $QQQ
GLBS,Globus Maritime Limited Common Stock,4.65,-0.05,-0.01,Micro,Greece,491083,Transportation,2283535.95,FALSE,$SBLK $DAC $DSX $SPY
RMED,Ra Medical Systems Inc. Common Stock,4.91,0.25,0.05,Micro,,460671,Health Care,2261894.61,FALSE,$ABT $DHR $SYK $SPY
ENBA,Enbridge Inc 6.375% Fixed-to-Floating Rate Subordinated Notes Series 2018-B due 2078,26.55,0.19,0.01,Micro,Canada,84783,Energy,2250988.65,TRUE,$SPY $DIA $IWM $QQQ
CTBB,Qwest Corporation 6.5% Notes due 2056,25.66,0.04,0,Micro,United States,86883,Public Utilities,2229417.78,TRUE,$SPY $DIA $IWM $QQQ
FITBI,Fifth Third Bancorp Depositary Shares,28.2,0.05,0,Micro,United States,78805,Finance,2222301,TRUE,$SPY $DIA $IWM $QQQ
BOWXU,BowX Acquisition Corp. Unit,13.87,1.5,0.12,Micro,United States,158220,Finance,2194511.4,TRUE,$SPY $DIA $IWM $QQQ
CFXA,Colfax Corporation 5.75% Tangible Equity Units,181.98,1.82,0.01,Micro,United States,12018,Capital Goods,2187035.64,TRUE,$ITW $PH $SWK $SPY
TCBIL,Texas Capital Bancshares Inc. 6.50% Subordinated Notes due 2042,25.52,0.05,0,Micro,United States,85601,Finance,2184537.52,TRUE,$SPY $DIA $IWM $QQQ
ISLE,Isleworth Healthcare Acquisition Corporation Common stock,9.7,0.01,0,Micro,United States,224797,Finance,2180530.9,TRUE,$SPY $DIA $IWM $QQQ
MLND,Millendo Therapeutics Inc. Common Stock,1.27,0.07,0.06,Micro,United States,1706209,Health Care,2166885.43,FALSE,$950160.KQ $ABBV $AMGN $SPY
SGBX,SG Blocks Inc. Common Stock,4.86,0.2,0.04,Micro,United States,438082,Consumer Services,2129078.52,FALSE,$PWR $ACM $MTZ $SPY
BHFAN,Brighthouse Financial Inc. Depositary shares each representing a 1/1000th interest in a share of 5.375% Non-Cumulative Preferred Stock Series C,26.72,0.12,0,Micro,United States,79205,Finance,2116357.6,TRUE,$SPY $DIA $IWM $QQQ
EARS,Auris Medical Holding Ltd. Common Shares 0.01 SF (Bermuda),3.42,-0.06,-0.02,Micro,Bermuda,610897,Health Care,2089267.74,FALSE,$ROG.SW $NOVN.SW $VIFN.SW $SPY
SOLN,Southern Company (The) 2019 Series A Corporate Units,51.39,0.46,0.01,Micro,United States,40497,Public Utilities,2081140.83,TRUE,$NEE $DUK $SO $SPY
DTOCU,Digital Transformation Opportunities Corp. Units,9.95,0.06,0.01,Micro,United States,208258,Finance,2072167.1,TRUE,$SPY $DIA $IWM $QQQ
ARVLW,Arrival Warrant,5.79,0.14,0.02,Micro,Luxembourg,356790,Finance,2065814.1,TRUE,$SPY $DIA $IWM $QQQ
GOVX,GeoVax Labs Inc. Common Stock,4.53,0.15,0.03,Micro,United States,454934,Health Care,2060851.02,FALSE,$950160.KQ $ABBV $AMGN $SPY
SOJD,Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080,26.58,0.26,0.01,Micro,United States,76934,Public Utilities,2044905.72,TRUE,$SPY $DIA $IWM $QQQ
FRSGU,First Reserve Sustainable Growth Corp. Unit,9.95,-0.05,-0.01,Micro,United States,200129,Finance,1991283.55,TRUE,$SPY $DIA $IWM $QQQ
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,23.18,0.08,0,Micro,United States,84998,Consumer Services,1970253.64,TRUE,$SPY $DIA $IWM $QQQ
DTB,DTE Energy Company 2020 Series G 4.375% Junior Subordinated Debentures due 2080,25.08,-0.05,0,Micro,United States,76790,Public Utilities,1925893.2,TRUE,$SPY $DIA $IWM $QQQ
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,25.19,-0.11,0,Micro,United States,75169,Finance,1893131.27,TRUE,$SPY $DIA $IWM $QQQ
HOTH,Hoth Therapeutics Inc. Common Stock,2.03,0.06,0.03,Micro,United States,908400,Health Care,1844052,FALSE,$JNJ $PFE $MRK $SPY
USEG,U.S. Energy Corp. Common Stock,4.53,0.15,0.03,Micro,United States,405370,Energy,1836326.1,FALSE,$COP $EOG $PXD $SPY
THBRW,Thunder Bridge Acquisition II Ltd. Warrants,2.45,0.26,0.12,Micro,United States,748494,Finance,1833810.3,TRUE,$SPY $DIA $IWM $QQQ
CETX,Cemtrex Inc. Common Stock,1.86,-0.02,-0.01,Micro,United States,982429,Capital Goods,1827317.94,FALSE,$IPGP $JBL $SANM $SPY
PRPO,Precipio Inc.  Common Stock,2.33,0.02,0.01,Micro,United States,779807,Capital Goods,1816950.31,TRUE,$CVS $CI $LH $SPY
BHFAL,Brighthouse Financial Inc. 6.25% Junior Subordinated Debentures due 2058,27.36,0.24,0.01,Micro,United States,65251,Finance,1785541.41,TRUE,$SPY $DIA $IWM $QQQ
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,25.36,-0.35,-0.01,Micro,Bermuda,69748,Finance,1768809.28,TRUE,$BPY $H78.SI $ROM.OL $SPY
EUCR,Eucrates Biomedical Acquisition Corp. Ordinary Shares,9.69,-0.29,-0.03,Micro,United States,180918,Finance,1753095.42,TRUE,$SPY $DIA $IWM $QQQ
GIIXU,Gores Holdings VIII Inc. Unit,9.97,-0.03,0,Micro,United States,174451,Finance,1739276.47,TRUE,$SPY $DIA $IWM $QQQ
HGH,Hartford Financial Services Group Inc. (The) 7.875% Fixed to Floating Rate Junior Subordinated Debentures due 2042,27.1,0.26,0.01,Micro,United States,64106,Finance,1737272.6,TRUE,$SPY $DIA $IWM $QQQ
MTCN,ArcelorMittal 5.50% Mandatorily Convertible Subordinated Notes due 2023,69.18,0.33,0,Micro,Luxembourg,25081,Basic Industries,1735103.58,TRUE,$SPY $DIA $IWM $QQQ
FORA,Forian Inc. Common Stock,9.75,-0.36,-0.04,Micro,United States,176135,Technology,1717316.25,TRUE,$ADT $BCO $CXW $SPY
CLRMU,Clarim Acquisition Corp. Unit,10,0.05,0.01,Micro,United States,171684,Finance,1716840,TRUE,$SPY $DIA $IWM $QQQ
DISAU,Disruptive Acquisition Corporation I Unit,9.93,0.05,0.01,Micro,United States,171916,Finance,1707125.88,TRUE,$SPY $DIA $IWM $QQQ
SNCA,Seneca Biopharma Inc. Common Stock,1.69,-0.01,-0.01,Micro,United States,997069,Health Care,1685046.61,TRUE,$950160.KQ $ABBV $AMGN $SPY
GMIIU,Gores Metropoulos II Inc. Unit,10.11,0.01,0,Micro,United States,165590,Finance,1674114.9,TRUE,$SPY $DIA $IWM $QQQ
PCTTW,PureCycle Technologies Inc. Warrant,13.19,-0.73,-0.05,Micro,United States,125037,Basic Industries,1649238.03,TRUE,$SPY $DIA $IWM $QQQ
AEPPL,American Electric Power Company Inc. Corporate Unit,48.84,0.58,0.01,Micro,United States,33092,Public Utilities,1616213.28,TRUE,$NEE $DUK $SO $SPY
UZD,United States Cellular Corporation 6.250% Senior Notes due 2069,26.28,0.17,0.01,Micro,United States,61349,Public Utilities,1612251.72,TRUE,$SPY $DIA $IWM $QQQ
STRR,Star Equity Holdings Inc. Common Stock,3.32,0.2,0.06,Micro,United States,485296,Health Care,1611182.72,TRUE,$CVS $CI $LH $SPY
CTDD,Qwest Corporation 6.75% Notes due 2057,26.32,0.2,0.01,Micro,United States,60846,Public Utilities,1601466.72,TRUE,$SPY $DIA $IWM $QQQ
SXTC,China SXT Pharmaceuticals Inc. Ordinary Shares,1.91,0.07,0.04,Micro,China,837257,Health Care,1599160.87,FALSE,$600276.SS $3692.HK $000661.SZ $SPY
CREG,China Recycling Energy Corporation Common Stock,8,-0.05,-0.01,Micro,China,199289,Miscellaneous,1594312,FALSE,$6098.HK $003035.SZ $3319.HK $SPY
RCMT,RCM Technologies Inc. Common Stock,3.75,0.2,0.06,Micro,United States,424840,Technology,1593150,FALSE,$950140.KQ $CSGP $VRSK $SPY
ACAHU,Atlantic Coastal Acquisition Corp. Unit,9.95,0.1,0.01,Micro,United States,159007,Finance,1582119.65,TRUE,$SPY $DIA $IWM $QQQ
BSQR,BSQUARE Corporation Common Stock,3.58,0.16,0.05,Micro,United States,441699,Miscellaneous,1581282.42,TRUE,$ADBE $CRM $INTU $SPY
HUSN,Hudson Capital Inc. Ordinary Shares,3.14,0.23,0.08,Micro,China,502969,Consumer Services,1579322.66,FALSE,$600901.SS $1606.HK $1905.HK $SPY
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,3.54,0.07,0.02,Micro,China,444836,Consumer Services,1574719.44,TRUE,$002607.SZ $667.HK $TAL $SPY
SOJC,Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077,26.35,-0.1,0,Micro,United States,59702,Public Utilities,1573147.7,TRUE,$SPY $DIA $IWM $QQQ
SOJB,Southern Company (The) Series 2016A 5.25% Junior Subordinated Notes due October 1 2076,25.77,0.29,0.01,Micro,United States,60763,Public Utilities,1565862.51,TRUE,$SPY $DIA $IWM $QQQ
NRUC,National Rural Utilities Cooperative Finance Corporation 5.500% Subordinated Notes due 2064 (Subordinated Deferrable Interest Notes),26.64,0.21,0.01,Micro,,58373,Finance,1555056.72,TRUE,$SPY $DIA $IWM $QQQ
GMBTU,Queen's Gambit Growth Capital Unit,10.08,-0.01,0,Micro,United States,153939,Finance,1551705.12,TRUE,$SPY $DIA $IWM $QQQ
SGLB,Sigma Labs Inc. Common Stock,3.73,0.01,0,Micro,United States,412675,Consumer Durables,1539277.75,FALSE,$BA $RTX $LMT $SPY
GSEVU,Gores Holdings VII Inc. Units,10.03,0.07,0.01,Micro,United States,153292,Finance,1537518.76,TRUE,$SPY $DIA $IWM $QQQ
HIIIU,Hudson Executive Investment Corp. III Unit,9.92,0,0,Micro,United States,154752,Finance,1535139.84,TRUE,$SPY $DIA $IWM $QQQ
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,1.41,0.05,0.04,Micro,China,1067424,Consumer Non-Durables,1505067.84,TRUE,$NTES $002602.SZ $002555.SZ $SPY
NTEC,Intec Pharma Ltd. Ordinary Shares,4.53,0.16,0.04,Micro,Israel,329872,Health Care,1494320.16,FALSE,$BONS.TA $KMDA.TA $EVGN.TA $SPY
WINT,Windtree Therapeutics Inc. Common Stock,2.52,0.07,0.03,Micro,United States,590094,Health Care,1487036.88,FALSE,$950160.KQ $ABBV $AMGN $SPY
AAC,Ares Acquisition Corporation Class A Ordinary Shares,9.77,-0.13,-0.01,Micro,,151921,Finance,1484268.17,TRUE,$SPY $DIA $IWM $QQQ
